Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Source,EID
"Lemoine, N.P., Capdevielle, J.N., Parker, J.D.","Effects of in situ climate warming on monarch caterpillar (Danaus plexippus) development",2015,"PeerJ",2015,10, e1293,,,,,10.7717/peerj.1293,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84946212113&partnerID=40&md5=4fc8d240925c82896d1e93d051cab408",Article,Scopus,2-s2.0-84946212113
"Jiao, Y., Ma, S., Li, J., Shan, L., Yang, Y., Li, M., Chen, J.","The influences of N-acetyl cysteine (NAC) on the cytotoxicity and mechanical properties of Poly-methylmethacrylate (PMMA)-based dental resin",2015,"PeerJ",2015,3,,1,16,,6,10.7717/peerj.868,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84982740752&partnerID=40&md5=055227f10ebed40a09aa70a2e2f75229",Article,Scopus,2-s2.0-84982740752
"D'Aloia, C.C., Azodi, C.B., Sheldon, S.P., Trombulak, S.C., Ardren, W.R.","Genetic models reveal historical patterns of sea lamprey population fluctuations within Lake Champlain",2015,"PeerJ",2015,10, e1369,,,,1,10.7717/peerj.1369,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84946236581&partnerID=40&md5=0c8de79304adac6ca2fc9d948e72290f",Article,Scopus,2-s2.0-84946236581
"Sneideris, T., Milto, K., Smirnovas, V.","Polymorphism of amyloid-like fibrils can be defined by the concentration of seeds",2015,"PeerJ",2015,8, 1207,,,,3,10.7717/peerj.1207,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84940375179&partnerID=40&md5=0d045f6cef025bf5669d5f1841c3d741",Article,Scopus,2-s2.0-84940375179
"Bateman, R.M., Sramkó, G., Rudall, P.J.","Floral miniaturisation and autogamy in boreal-arctic plants are epitomised by Iceland's most frequent orchid, Platanthera hyperborea",2015,"PeerJ",2015,3, e894,,,,3,10.7717/peerj.894,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84982748112&partnerID=40&md5=a840428861ed1657e66f9ae6bfed601f",Article,Scopus,2-s2.0-84982748112
"Raavé, R., de Vries, R.B.M., Massuger, L.F., van Kuppevelt, T.H., Daamen, W.F.","Drug delivery systems for ovarian cancer treatment: A systematic review and meta-analysis of animal studies",2015,"PeerJ",2015,12, e1489,,,,2,10.7717/peerj.1489,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84951025827&partnerID=40&md5=671f2cc53aa6a375f2acd647c3a8a587",Article,Scopus,2-s2.0-84951025827
"Ammazzalorso, A.D., Zolnik, C.P., Daniels, T.J., Kolokotronis, S.-O.","To beat or not to beat a tick: Comparison of DNA extraction methods for ticks (Ixodes scapularis)",2015,"PeerJ",2015,8, e1147,,,,3,10.7717/peerj.1147,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84940384132&partnerID=40&md5=48da3b2ea6648576d31b939031adb370",Article,Scopus,2-s2.0-84940384132
"Castro-Huerta, R.A., Falco, L.B., Sandler, R.V., Coviella, C.E.","Differential contribution of soil biota groups to plant litter decomposition as mediated by soil use",2015,"PeerJ",2015,3, e826,,,,1,10.7717/peerj.826,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84926467654&partnerID=40&md5=6b036010b95c260856069334d5f4b049",Article,Scopus,2-s2.0-84926467654
"Kollars, N.M., Krueger-Hadfield, S.A., Byers, J.E., Greig, T.W., Strand, A.E., Weinberger, F., Sotka, E.E.","Development and characterization of microsatellite loci for the haploid-diploid red seaweed Gracilaria vermiculophylla",2015,"PeerJ",2015,8, e1159,,,,4,10.7717/peerj.1159,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84940397393&partnerID=40&md5=47eb23c3fa35685f59f16c27279928d6",Article,Scopus,2-s2.0-84940397393
"Ramírez-Prado, D., Palazón-Bru, A., La Rosa, D.M.F.-D., Carbonell-Torregrosa, M.A., Martínez-Díaz, A.M., John, D.R.J.M.-S., Gil-Guillén, V.F.","A four-year cardiovascular risk score for type 2 diabetic inpatients",2015,"PeerJ",2015,6, e984,,,,2,10.7717/peerj.984,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84930668627&partnerID=40&md5=122b55b0246a4a2ea75c8e6269954282",Article,Scopus,2-s2.0-84930668627
